Frequency_Hz,Input_mm,Output_mm,TimeLag_sec,Gain_mm_per_mm,Phase_deg
0.5,2,1.69399768899935,-0.100434848979001,0.846998844499677,-18.0782728162203
1,2,1.86752205209298,-0.0573067645685656,0.93376102604649,-20.6304352446836
2.5,2,2.40227866584732,-0.0301052740743382,1.20113933292366,-27.0947466669043
5,2,3.57916764301673,-0.0350761478830333,1.78958382150837,-63.13706618946
10,1.99999999999999,0.673842886044899,-0.0420858701242864,0.33692144302245,-151.509132447431
25,2,0.110521699896595,-0.0134919115632983,0.0552608499482973,-121.427204069685
50,2,0.0814211695980154,-0.0100629688865793,0.0407105847990077,-181.133439958428
